Dates,traded_dollars,asset_turnover,signal_change_day,nonzero_rebalance_day,BRL_traded_dollars,AUD_traded_dollars,BCOM_traded_dollars,XAU_traded_dollars
2002-06-27,262780.94266954437,0.0025941217168671676,False,True,0.0,227817.92403992638,0.0,34963.01862961799
2002-06-28,175786.5614042841,0.0017350368185844855,False,True,0.0,92177.18919637054,0.0,83609.37220791355
2002-07-01,273185.1309339404,0.0027052300129121625,False,True,0.0,53671.30671335012,0.0,219513.8242205903
2002-07-02,129200.47977705672,0.0012796273709674048,False,True,0.0,68800.16606870294,0.0,60400.31370835379
2002-07-03,216367.5327421017,0.002145838702068964,False,True,0.0,74171.5762087442,0.0,142195.9565333575
2002-07-04,131858.74372334778,0.0013111466562468455,False,True,0.0,52799.94276767969,0.0,79058.80095566809
2002-07-05,110125.48590075597,0.0010969467775196339,False,True,0.0,98754.72856802493,0.0,11370.757332731038
2002-07-08,25185691.700486973,0.2505804314419065,True,True,0.0,22895.050471175462,25127352.877838265,35443.772177532315
2002-07-09,712905.7275836319,0.007088001426038857,False,True,0.0,277786.3707880303,347725.5189612806,87393.83783432096
2002-07-10,182791.32027195394,0.0018042701272425938,False,True,0.0,29034.93230709806,15054.244052700698,138702.14391215518
2002-07-11,198072.84740410373,0.0019559621765150156,False,True,0.0,75643.7809596844,93511.36916418374,28917.69728023559
2002-07-12,480917.10649223626,0.004763456692354343,False,True,0.0,278771.81058288366,113514.72776084393,88630.56814850867
2002-07-15,67510.5940858759,0.0006687262470301342,False,True,0.0,7683.45228375867,25361.56197379902,34465.57982831821
2002-07-16,186934.20464838296,0.0018469266922398384,False,True,0.0,23138.22686265409,61010.832243379205,102785.14554234967
2002-07-17,516709.93840210885,0.005099137613027035,False,True,0.0,221626.20519841462,273248.98951778933,21834.74368590489
2002-07-18,181921.4466604218,0.0018012386737504568,False,True,0.0,132815.8123902157,13156.403102442622,35949.23116776347
2002-07-19,35818.88222363591,0.0003542589650501208,False,True,0.0,10318.549525037408,21509.545870330185,3990.7868282683194
