Dates,start_nav,end_nav,BRL_weight,AUD_weight,BCOM_weight,XAU_weight,BRL_dollar,AUD_dollar,BCOM_dollar,XAU_dollar,Cash_dollar,strategy_return,gross_leverage,active_signals
2023-08-14,226052736.3884444,224814178.61599165,0.25,0.0,0.25,0.25,56513184.0971111,0.0,56513184.0971111,56513184.0971111,56513184.0971111,-0.005479065603189337,0.75,3.0
2023-08-15,224814178.61599165,223682433.76108783,0.25,0.0,0.25,0.25,56203544.65399791,0.0,56203544.65399791,56203544.65399791,56203544.65399791,-0.0050341346879057836,0.75,3.0
2023-08-16,223682433.76108783,223591396.47219148,0.25,0.0,0.25,0.0,55920608.44027196,0.0,55920608.44027196,0.0,111841216.88054392,-0.00040699346553779714,0.5,2.0
2023-08-17,223591396.47219148,223616596.9079939,0.25,0.0,0.25,0.0,55897849.11804787,0.0,55897849.11804787,0.0,111795698.23609574,0.00011270753794651034,0.5,2.0
2023-08-18,223616596.9079939,224135368.05540967,0.25,0.0,0.25,0.0,55904149.22699848,0.0,55904149.22699848,0.0,111808298.45399696,0.0023199134348209083,0.5,2.0
2023-08-21,224135368.05540967,223888715.1367272,0.25,0.0,0.25,0.0,56033842.01385242,0.0,56033842.01385242,0.0,112067684.02770483,-0.0011004640669717292,0.5,2.0
2023-08-22,223888715.1367272,223714613.23157987,0.0,0.0,0.25,0.0,0.0,0.0,55972178.7841818,0.0,167916536.3525454,-0.0007776269788364876,0.25,1.0
2023-08-23,223714613.23157987,224093389.42158502,0.0,0.0,0.25,0.0,0.0,0.0,55928653.30789497,0.0,167785959.9236849,0.0016931222530961465,0.25,1.0
2023-08-24,224093389.42158502,224226328.22886017,0.0,0.0,0.25,0.0,0.0,0.0,56023347.355396256,0.0,168070042.06618875,0.000593229490697067,0.25,1.0
2023-08-25,224226328.22886017,224540528.6436997,0.0,0.0,0.25,0.0,0.0,0.0,56056582.05721504,0.0,168169746.17164513,0.001401264594222018,0.25,1.0
2023-08-28,224540528.6436997,224634942.90415072,0.0,0.0,0.25,0.0,0.0,0.0,56135132.16092493,0.0,168405396.4827748,0.0004204775904879665,0.25,1.0
2023-08-29,224634942.90415072,224703564.83981568,0.0,0.0,0.25,0.0,0.0,0.0,56158735.72603768,0.0,168476207.17811304,0.00030548201797020447,0.25,1.0
2023-08-30,224703564.83981568,224884813.70937508,0.0,0.0,0.25,0.0,0.0,0.0,56175891.20995392,0.0,168527673.62986177,0.0008066132359252354,0.25,1.0
2023-08-31,224884813.70937508,224834909.04806328,0.0,0.0,0.25,0.0,0.0,0.0,56221203.42734377,0.0,168663610.2820313,-0.00022191210019306684,0.25,1.0
2023-09-01,224834909.04806328,225203081.88663343,0.0,0.0,0.25,0.0,0.0,0.0,56208727.26201582,0.0,168626181.78604746,0.0016375252407598295,0.25,1.0
2023-09-04,225203081.88663343,225203081.88663343,0.0,0.0,0.25,0.0,0.0,0.0,56300770.47165836,0.0,168902311.41497508,0.0,0.25,1.0
2023-09-05,225203081.88663343,225158293.81379238,0.0,0.0,0.25,0.0,0.0,0.0,56300770.47165836,0.0,168902311.41497508,-0.00019887859644651673,0.25,1.0
2023-09-06,225158293.81379238,225024641.1461497,0.0,0.0,0.25,0.0,0.0,0.0,56289573.453448094,0.0,168868720.3603443,-0.0005935942459805721,0.25,1.0
2023-09-07,225024641.1461497,224826977.063658,0.0,0.0,0.25,0.0,0.0,0.0,56256160.286537424,0.0,168768480.8596123,-0.0008784108330756324,0.25,1.0
2023-09-08,224826977.063658,224864673.91274804,0.0,0.0,0.25,0.0,0.0,0.0,56206744.2659145,0.0,168620232.7977435,0.00016767048857907474,0.25,1.0
2023-09-11,224864673.91274804,225182524.88786757,0.0,0.0,0.25,0.0,0.0,0.0,56216168.47818701,0.0,168648505.434561,0.0014135211618116483,0.25,1.0
2023-09-12,225182524.88786757,225253869.07717347,0.0,0.0,0.25,0.0,0.0,0.0,56295631.22196689,0.0,168886893.66590068,0.00031682826783047124,0.25,1.0
2023-09-13,225253869.07717347,225325936.3299082,0.0,0.0,0.25,0.0,0.0,0.0,56313467.26929337,0.0,168940401.8078801,0.00031993791285334083,0.25,1.0
2023-09-14,225325936.3299082,225724954.71758297,0.0,0.0,0.25,0.0,0.0,0.0,56331484.08247705,0.0,168994452.24743116,0.0017708497928554667,0.25,1.0
2023-09-15,225724954.71758297,225598325.90137225,0.0,0.0,0.25,0.0,0.0,0.0,56431238.67939574,0.0,169293716.03818724,-0.0005609872261096438,0.25,1.0
2023-09-18,225598325.90137225,225561642.88835913,0.0,0.0,0.25,0.0,0.0,0.0,56399581.47534306,0.0,169198744.4260292,-0.00016260321465857985,0.25,1.0
2023-09-19,225561642.88835913,225595141.00897956,0.0,0.0,0.25,0.0,0.0,0.0,56390410.72208978,0.0,169171232.16626936,0.00014850982725372885,0.25,1.0
2023-09-20,225595141.00897956,225480731.311369,0.0,0.0,0.25,0.0,0.0,0.0,56398785.25224489,0.0,169196355.75673467,-0.0005071461073977435,0.25,1.0
2023-09-21,225480731.311369,224862345.00084624,0.0,0.0,0.25,0.0,0.0,0.0,56370182.82784225,0.0,169110548.48352677,-0.00274252397056865,0.25,1.0
2023-09-22,224862345.00084624,224944440.0998205,0.0,0.0,0.25,0.0,0.0,0.0,56215586.25021156,0.0,168646758.75063467,0.0003650904688997092,0.25,1.0
2023-09-25,224944440.0998205,224694453.59808326,0.0,0.0,0.25,0.0,0.0,0.0,56236110.02495512,0.0,168708330.07486537,-0.0011113255416594081,0.25,1.0
2023-09-26,224694453.59808326,224509974.4337185,0.0,0.0,0.25,0.0,0.0,0.0,56173613.399520814,0.0,168520840.19856244,-0.0008210223323748267,0.25,1.0
2023-09-27,224509974.4337185,224703695.62507325,0.0,0.0,0.25,0.0,0.0,0.0,56127493.608429626,0.0,168382480.8252889,0.000862862293060096,0.25,1.0
2023-09-28,224703695.62507325,224769554.50372532,0.0,0.0,0.25,0.0,0.0,0.0,56175923.90626831,0.0,168527771.71880496,0.00029309210277511655,0.25,1.0
2023-09-29,224769554.50372532,224210404.87414575,0.0,0.0,0.25,0.0,0.0,0.0,56192388.62593133,0.0,168577165.877794,-0.002487657328921311,0.25,1.0
2023-10-02,224210404.87414575,223626990.87641335,0.0,0.0,0.25,0.0,0.0,0.0,56052601.21853644,0.0,168157803.6556093,-0.0026020826199385505,0.25,1.0
2023-10-03,223626990.87641335,223472819.84719315,0.0,0.0,0.25,0.0,0.0,0.0,55906747.71910334,0.0,167720243.15731,-0.0006894115447156068,0.25,1.0
2023-10-04,223472819.84719315,222482858.52662396,0.0,0.0,0.25,0.0,0.0,0.0,55868204.96179829,0.0,167604614.88539487,-0.004429895864947242,0.25,1.0
