,asset_returns,asset_returns,asset_returns,asset_returns,signals,signals,signals,signals,positions,positions,positions,positions,weights,weights,weights,weights,results,results,results,results,results
,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,strategy_return,nav,pnl,gross_leverage,active_signals
Dates,,,,,,,,,,,,,,,,,,,,,
2002-03-21,-0.0035308242335587714,0.0009668108740512604,0.014763843847768854,0.0023935715506924193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-22,-0.007195482890696714,-0.0006871598719185856,-0.009110384167613339,0.015691625447723068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-25,0.001083059828344446,-0.0006850617969441641,-0.0019801839438562396,0.0016792611251048584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-26,0.007749384159844608,-0.003333766345680056,0.0031705105885488916,-0.005029337803855838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-27,0.009914954010376231,-0.0015395395834598702,0.007680112949997264,0.018972198820556008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-28,0.002845826609945812,0.012396053322028644,0.0023986029119420493,0.000892916198161231,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-29,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.0,100000000.0,0.0,1.0,4.0
2002-04-01,-0.00012579720320637922,0.0,0.016984008081311286,0.002312902692879648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.004792778392746139,100479277.83927462,479277.83927461505,1.0,4.0
2002-04-02,0.014131046462069197,0.001734956370762264,0.013208042717556934,0.00824130542277901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.009328837743291851,101416632.71880035,937354.879525736,1.0,4.0
2002-04-03,-0.0049575888134485435,-0.005816502350050268,-0.01573522489960233,-0.01078960274644436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.009324729702386375,100470950.03137134,-945682.6874290109,1.0,4.0
2002-04-04,0.0028144375232563856,-0.00260351237020906,-0.021043105991750632,-0.005123120145430593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.006488825246033475,99819011.59431481,-651938.4370565265,1.0,4.0
2002-04-05,0.0019352780564718675,0.0010089079503232679,-0.007484060972847151,-0.003156146179401964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0019240052863634949,99626959.28832777,-192052.30598704517,1.0,4.0
2002-04-08,0.005869649908377017,-0.007294049975990369,0.0005268156287958625,0.0014997500416595866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.00015054140071052435,99641957.27032757,14997.98199979961,1.0,4.0
2002-04-09,0.002105792651146965,0.0029178463293466628,-0.008346191254576696,-0.006489184692179628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.002452934241565674,99397542.10144255,-244415.1688850224,1.0,4.0
2002-04-10,0.006043579043200298,0.0049894961369769675,-0.0005504832133430559,0.009043711271143895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.004881575809494526,99882758.73848815,485216.63704560697,1.0,4.0
2002-04-11,0.0024975764117993737,0.008285662224206902,-0.017658047955411038,0.004481327800829993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0005983703796436923,99822991.85422194,-59766.88426621258,1.0,4.0
2002-04-12,-0.009419456784516389,-0.0012472080992166346,-0.01557894076173938,-0.0014871116986121535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.006933179336021139,99130901.14983845,-692090.7043834925,1.0,4.0
2002-04-15,-0.011626707421912186,-0.005355675193526976,0.021712357224754175,-0.007612113188813385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0007205346448745931,99059473.90118235,-71427.24865609407,1.0,4.0
2002-04-16,0.003590315522533416,0.0019357599298974737,0.0023483895123297405,-0.002834750708687772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.0012599285640182145,99184281.76188707,124807.86070472002,1.0,4.0
2002-04-17,4.1408146619570374e-05,0.010016839644896969,0.021779100364403003,0.010200668896321208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.010509504263060188,100226659.39389217,1042377.6320050955,1.0,4.0
2002-04-18,-0.005662088848573887,0.0007608394299654098,-0.0008743264842733245,0.005297136235722366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.000119609916789859,100214671.29150194,-11988.102390229702,1.0,4.0
2002-04-19,0.003543461881879484,0.004709570180565059,0.0016333010467557418,-0.0042812448542728365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.001401272063731862,100355099.31075881,140428.01925687492,1.0,4.0
2002-04-22,-0.005851785016380839,-0.0004922939007176996,0.0032480842289834833,0.001819083843227931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0003192277112217812,100323063.1820964,-32036.1286624074,1.0,4.0
2002-04-23,-0.002541251658656818,-0.002261132455753656,0.0005866259399920359,0.0024760647078243547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0004349233666485208,100279430.33770476,-43632.844391644,1.0,4.0
2002-04-24,-0.0026596391726995128,0.007447715120793452,-0.008975168935140054,0.0013173061090072657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0007174467195097123,100207485.18937469,-71945.14833007753,1.0,4.0
2002-04-25,-0.005079767770893362,0.002763317183697378,-0.005007109299616674,0.011840157868771461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.0011291494954897008,100320634.42072055,113149.23134586215,1.0,4.0
2002-04-26,0.004428996787113837,-0.0006636181059014312,0.005027181016445947,0.012026653664878983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.005204803340634334,100842783.59388807,522149.1731675267,1.0,4.0
2002-04-29,-0.0020465552257459274,-0.010956344700285725,0.005917986619760729,-0.0008029548739361125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.001971967045051759,100643924.94790964,-198858.64597843587,1.0,4.0
2002-04-30,0.004046713317365613,0.0008142962090971206,0.008218389114614366,-0.008518161362905952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.0011403093195427871,100758690.15348311,114765.2055734694,1.0,4.0
2002-05-01,-0.0008399922042486851,0.002293082471374275,-0.010626485958073362,0.0009726049602853948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0020501976826655943,100552114.92042202,-206575.2330610901,1.0,4.0
2002-05-02,-0.010097158205391699,-0.005543748723727759,-0.00772865243122689,-0.00291497975708499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0065711347793578345,99891373.42093045,-660741.4994915724,1.0,4.0
2002-05-03,-0.010276999167475487,0.005636762797112116,0.0045546792004007575,0.013318174435601682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.003308154316409767,100221829.49908501,330456.0781545639,1.0,4.0
2002-05-06,-0.00837486088353645,0.0006327398771071024,-0.009753361513790249,0.0011219746754287385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0040933769611977144,99811583.77120435,-410245.7278806567,1.0,4.0
2002-05-07,0.011366864730997017,-0.0017987673153396777,0.009623890729448803,-0.0027217419148255484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.0041175615575701485,100222564.11154087,410980.3403365165,1.0,4.0
2002-05-08,-0.005884081217790382,0.0030197526907094208,0.010687845151708508,-0.010595601220099615,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,-0.0006930211488680171,100153107.75501777,-69456.35652309656,1.0,4.0
2002-05-09,-0.012438893859032518,0.004652496974241416,-0.0005571008150626611,0.0045432419276327796,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.0021596595217028836,100369404.36780903,216296.61279125512,0.75,3.0
2002-05-10,-0.00741700856757499,0.0041287850326847675,0.006358730556240033,0.004845743821676685,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.0038333148526503713,100754151.89632381,384747.52851478755,0.75,3.0
2002-05-13,-0.005474961853521587,0.003188927425399557,0.00900772535117289,-0.0006429834431762593,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.002888417333349047,101045171.93506804,291020.0387442261,0.75,3.0
2002-05-14,0.0008920825877973826,0.0004338669855816768,0.010138568726468344,-0.010294354190124033,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,6.9520380481497e-05,101052196.63386677,7024.698798730969,0.75,3.0
2002-05-15,0.0015543808161369022,0.003345167339138033,-0.016345380458592018,0.004550625711035483,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,-0.0021123968521046255,100838734.29179914,-213462.3420676291,0.75,3.0
2002-05-16,0.0010503117729936395,0.001865165617046527,-0.0017334595729605606,0.00258857790001632,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.0006800709860255716,100907311.78925854,68577.49745939672,0.75,3.0
2002-05-17,0.007517975882464167,0.005526979099835572,-0.0019790941884411106,0.003872841697595497,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.0018551816522474895,101094513.18266758,187201.39340904355,0.75,3.0
2002-05-20,0.00036063378348383246,0.0007868091446892045,-0.00254356814793677,0.01575309435782013,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.003499083838643141,101448251.35992053,353738.1772529483,0.75,3.0
2002-05-21,-0.0011523968944017193,0.004954228968174101,-0.012782500100713023,0.0006330115524608715,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,-0.0017988148950195126,101265764.73430063,-182486.6256199032,0.75,3.0
