Dates,trend_ret,bench_ret,mix10_ret,trend_nav,bench_nav,mix10_nav
2002-03-22,0.0,-0.0030131374748982,-0.00271182372740838,100000000.0,99923447.68642886,99940739.01103848
2002-03-25,0.0,-0.0086799478653748,-0.00781195307883732,100000000.0,99056117.36998214,99160006.64721993
2002-03-26,0.0,0.0051658797294981,0.00464929175654829,100000000.0,99567829.35878651,99621030.44870412
2002-03-27,0.0,0.003488484788391,0.0031396363095519,100000000.0,99915170.21691774,99933804.25309587
2002-03-28,0.0,6.549008696810077e-05,5.894107827129069e-05,100000000.0,99921713.67010467,99939694.45927428
2002-03-29,0.0,0.0,0.0,100000000.0,99921713.67010467,99939694.45927428
2002-04-01,0.0047927783927461,-0.0004157105092216,0.00010513838097516999,100479277.83927462,99880175.16363257,99950201.95694487
2002-04-02,0.0093288377432918,-0.0031386299513405,-0.0018918831818772698,101416632.71880035,99566688.25431886,99761107.85083729
2002-04-03,-0.0093247297023863,-0.0044176770948779,-0.00490838235562874,100470950.03137134,99126834.77620491,99271442.18928427
2002-04-04,-0.0064888252460334,0.0007362509495215,1.3743329966009899e-05,99819011.59431481,99199817.00243194,99272806.50947048
2002-04-05,-0.0019240052863634,-0.0005214890086218,-0.00066174063639596,99626959.28832778,99148085.38820788,99207113.65931408
2002-04-08,0.0001505414007105,0.0010611060121477,0.00097004955100398,99641957.27032757,99253292.01770625,99303349.4753757
2002-04-09,-0.0024529342415656,-0.0033375854247705,-0.00324912030645001,99397542.10144258,98922025.67690746,98980700.94609675
2002-04-10,0.0048815758094945,0.0065303566758924,0.006365478589252611,99882758.73848818,99568021.78767945,99610760.47871834
2002-04-11,-0.0005983703796436,-0.0135416854206593,-0.01224735391655773,99822991.85422197,98219702.95867334,98390792.24123801
2002-04-12,-0.0069331793360211,0.0049001909931136,0.0037168539602001295,99130901.14983848,98700998.26245774,98756496.44702709
2002-04-15,-0.0007205346448745,-0.0037252568037233,-0.00342478458783842,99059473.9011824,98333311.69714624,98418276.72004639
2002-04-16,0.0012599285640182,0.0132346199773973,0.01203715083605939,99184281.76188712,99634715.70857693,99602952.36195062
2002-04-17,0.0105095042630601,-0.0023113769198578,-0.00102928880156601,100226659.39389221,99404422.32627153,99500432.15848155
2002-04-18,-0.0001196099167898,-0.0004008332407811,-0.00037271090838197,100214671.29150198,99364577.72952251,99463347.26202737
2002-04-19,0.0014012720637318,0.000770258492933,0.0008333598500128801,100355099.31075883,99441114.13941538,99546236.02218345
2002-04-22,-0.0003192277112217,-0.0086750893404905,-0.007839503177563621,100323063.18209642,98578453.59013803,98765842.98857304
2002-04-23,-0.0004349233666485,-0.0035341255939902,-0.00322420537125603,100279430.3377048,98230064.95428915,98447401.62711266
2002-04-24,-0.0007174467195097,-0.0025360919698022,-0.0023542274447729498,100207485.1893747,97980944.47536543,98215634.05233552
2002-04-25,0.0011291494954897,-0.00063858147116,-0.00046180837449502995,100320634.42072056,97918375.6596967,98170277.2500238
2002-04-26,0.0052048033406343,-0.0075606897054659,-0.00628414040085588,100842783.59388807,97178045.20487049,97553361.4445937
2002-04-29,-0.0019719670450517,-0.0064657707260012,-0.00601639035790625,100643924.94790965,96549714.24497482,96966442.3414171
2002-04-30,0.0011403093195427,0.0070054447959085,0.0064189312482719205,100758690.15348314,97226087.93817873,97588863.26819618
2002-05-01,-0.0020501976826655,0.0061095186947044,0.00529354705696741,100552114.92042206,97820092.54005001,98105454.50814234
2002-05-02,-0.0065711347793578,-0.0019624285512466,-0.00242329917405772,99891373.42093049,97628127.59756383,97867715.6412622
2002-05-03,0.0033081543164097,-0.0049323665644058,-0.00410831447632425,100221829.49908505,97146589.88525607,97465644.28832844
2002-05-06,-0.0040933769611977,-0.0116283962826814,-0.010874894350533031,99811583.7712044,96016930.84055918,96405715.70388623
2002-05-07,0.0041175615575701,-0.0015795289492302,-0.00100981989855017,100222564.11154091,95865269.31868029,96308363.29383448
2002-05-08,-0.000693021148868,0.019584472643806,0.0175567232645386,100153107.75501782,97742740.06314306,97999222.57624497
2002-05-09,0.0021596595217028,-0.0077296959714943,-0.00674076042217459,100369404.36780907,96987218.39903417,97338633.29529914
2002-05-10,0.0038333148526503,-0.0088068905641336,-0.00754287002245521,100754151.89632386,96133062.58047415,96604420.63618925
2002-05-13,0.002888417333349,0.0094690584689691,0.00881099435540709,101045171.93506809,97043352.17084973,97455601.64112209
2002-05-14,6.9520380481497e-05,0.0108995812141331,0.00981657513076794,101052196.63386682,98101084.06912762,98412281.87654635
2002-05-15,-0.0021123968521046,-0.0025090912761913,-0.00246942183378263,100838734.29179919,97854939.49490488,98169260.43896805
2002-05-16,0.0006800709860255,0.0052362268277234,0.00478061124355361,100907311.78925858,98367330.15431333,98638569.50919391
2002-05-17,0.0018551816522474,0.0033327272685747,0.00318497270694197,101094513.18266763,98695161.63785551,98952730.66093248
2002-05-20,0.0034990838386431,-0.006566658974315,-0.0055600846930191905,101448251.35992058,98047064.16896483,98402545.09785219
2002-05-21,-0.0017988148950195,-0.0055908822142427,-0.0052116754823203805,101265764.73430067,97498894.58174385,97889702.9661678
2002-05-22,0.0034972949791033,0.0045844945699053,0.0044757746108251,101619920.98486099,97945877.73452564,98327835.21336497
2002-05-23,0.0032457040885885,0.0052402373014847,0.0050407839801950806,101949749.1778836,98459137.37655674,98823484.58991577
