Dates,method1_strategy_return,method1_nav,benchmark_strategy_return,benchmark_nav,spxt_level,luattruu_level,spxt_return,luattruu_return,method1_gross_leverage,method1_active_signals
2023-12-15,-0.0038455532265431,225456223.20366615,-0.0001852719653101,445181675.8877292,10213.48,2265.76,-2.0560639690581084e-05,-0.0004323389537395,0.75,3.0
2023-12-18,0.0003094171642382,225525983.2289097,0.00197551233571,446061137.7800776,10259.85,2261.52,0.0045400784061848,-0.0018713367700021,0.75,3.0
2023-12-19,0.0084314734398957,227427499.56651065,0.0041480292096863,447911412.40889525,10320.86,2264.8,0.0059464806990354,0.0014503519756625,0.75,3.0
2023-12-20,-0.0021091774592302,226947814.61081588,-0.0072393143782861,444668840.8808451,10170.51,2273.3,-0.0145675844842387,0.0037530907806428,0.75,3.0
2023-12-21,0.0026880318579604,227557857.5665843,0.0055925394153813,447155668.90026313,10275.3,2269.95,0.0103033181226899,-0.0014736286455814,0.75,3.0
2023-12-22,0.0023100247036612,228083521.83907536,0.0006073233280507,447427236.96925646,10292.37,2267.74,0.0016612653645151,-0.0009735897266459,0.75,3.0
2023-12-25,0.0,228083521.83907536,0.0,447427236.96925646,10292.37,2267.74,0.0,0.0,0.75,3.0
2023-12-26,0.0036902794831829,228925213.78017023,0.0029426702398463,448743867.7839825,10335.98,2270.01,0.0042371193418035,0.0010009965869104,0.75,3.0
2023-12-27,0.002858942012143,229579697.6914852,0.0033736849854532,450257788.2330396,10351.6,2284.01,0.0015112258344154,0.00616737371201,0.75,3.0
2023-12-28,-0.0017275914417367,229183077.7705569,-0.0008228485437149,449887294.2676957,10356.59,2277.66,0.0004820510838903,-0.0027801979851228,0.75,3.0
2023-12-29,-0.0024953849065145,228611177.77745968,-0.001766288228576,449092663.63564473,10327.83,2277.09,-0.0027769758192609,-0.0002502568425487,0.75,3.0
2024-01-01,0.0,228611177.77745968,0.0,449092663.63564473,10327.83,2277.09,0.0,0.0,0.75,3.0
2024-01-02,-0.0052521871188743,227410469.09430623,-0.0049902543321562,446851577.0253974,10269.69,2267.91,-0.0056294497488823,-0.0040314612070669,0.75,3.0
2024-01-03,-0.0048510298048952,226307294.1307845,-0.004155299944535,444994774.6921684,10187.79,2271.48,-0.0079749242674316,0.0015741365398098,0.75,3.0
