Dates,ret_100pct_60_40,ret_static_mv,ret_dynamic_mv,nav_100pct_60_40,nav_static_mv,nav_dynamic_mv,w_T_tan,w_T_mv
2002-05-27,0.0,5.618976795365562e-05,1.004710189128e-05,97770324.91973549,99953982.63351138,98167784.8479813,0.1,0.1
2002-05-28,-0.0049493180086955,0.0004391618727465252,-0.00398582219122544,97286428.48989423,99997878.61171319,97776505.51267077,0.1,0.1
2002-05-29,-0.0025313020788804,0.0011972976085878545,-0.0018646038109201902,97040167.1512109,100117605.83263884,97594191.06787339,0.1,0.1
2002-05-30,-0.000637438715816,-0.002784058505460819,-0.00102126852209297,96978309.99167947,99838872.56057411,97494521.19259664,0.1,0.1
2002-05-31,0.0010279613283943,0.003433099428038598,0.00145801591715246,97077999.94404395,100181629.33685781,97636669.7563306,0.1,0.1
2002-06-03,-0.014537143858157,-0.005147213765416454,-0.01285816229568513,95666763.09339522,99665973.07529329,96381241.61059348,0.1,0.1
2002-06-04,0.0006312760490475,0.002165516871102167,0.0009056084484562,95727155.22962599,99881801.42146264,96468525.27726874,0.1,0.1
2002-06-05,0.0047707035964644,-0.0022780104458138026,0.00351034693786998,96183841.11335926,99654269.63447785,96807163.26957662,0.1,0.1
2002-06-06,-0.010992820058101,-0.0026959814325868306,-0.009509290474657952,95126509.45550312,99385603.5738653,95886595.83401857,0.1,0.1
2002-06-07,-0.0018688089460738,-0.003048430983080772,-0.0020797331628953303,94948736.18362391,99082633.42065854,95687177.30078542,0.1,0.1
2002-06-10,0.0025342191694592,-0.0033646445772090652,0.0014794633435509,95189357.09097639,98749255.57542413,95828742.97204979,0.1,0.1
2002-06-11,-0.0087331904399238,-0.003035312662930273,-0.00771437223379185,94358050.30764697,98449520.70952111,95089484.37806702,0.1,0.1
2002-06-12,0.0048367829597281,0.002147989217462423,0.004356008867273038,94814439.71748817,98660989.21846952,95503695.0152023,0.1,0.1
2002-06-13,-0.0054232599415138,-0.0035488995339327924,-0.00508811191222349,94300236.36469124,98310851.27981474,95017761.52693409,0.1,0.1
2002-06-14,0.0009559559041843,-0.0010070891360817046,0.00060495047641689,94390383.23241003,98211843.48953189,95075242.56703788,0.1,0.1
2002-06-17,0.016134550485825,0.005303344242373638,0.01419785922162226,95913329.63604973,98732694.70423499,96425107.47646628,0.1,0.1
2002-06-18,0.0008449567162661,0.003500379781983191,0.00131976391119382,95994372.24810514,99078296.63259842,96552365.8534467,0.1,0.1
2002-06-19,-0.0075145676158192,-0.00265312728694272,-0.0066453099537679,95273016.04710864,98815429.30025867,95910745.45558096,0.1,0.1
2002-06-20,-0.0100198666588421,-0.001596561490780354,-0.00851372402172242,94318393.13013089,98657664.39114295,95094187.83805446,0.1,0.1
2002-06-21,-0.0087699192628371,-0.002793036634106434,-0.00770121314515733,93491228.4373791,98382109.92026311,94361847.22864798,0.1,0.1
2002-06-24,0.0007271134556714,-0.0009558352310487523,0.00042619110718939,93559207.16756317,98288072.83349639,94402063.4087948,0.1,0.1
2002-06-25,-0.009964538970698,-0.005541145417499894,-0.00917360696736836,92626932.80167438,97743444.32912016,93536055.98217392,0.1,0.1
2002-06-26,0.0012054959896176,-0.0023553122546039547,0.0005687999407121999,92738594.19769737,97513227.99688458,93589259.28527105,0.1,0.1
2002-06-27,0.0082376361655654,0.0037252321844659883,0.0074307885094206695,93502540.995204,97876487.41222976,94284701.27777323,0.1,0.1
2002-06-28,-0.0006218532085397,-0.0021049764314082803,-0.0008870454433568,93444396.14007953,97670459.713038,94201066.46312653,0.1,0.1
2002-07-01,-0.0124860333542061,-0.005596090391600177,-0.01125406601404011,92277646.29311085,97123886.99189469,93140921.44255753,0.1,0.1
2002-07-02,-0.0109243057618481,-0.005568322736267,-0.00996662059699099,91269577.07002124,96583069.8437231,92212621.21648541,0.1,0.1
2002-07-03,0.0037893439483406,0.0002073852922170091,0.0031488660659953903,91615428.88955912,96603099.75188586,92502986.41029048,0.1,0.1
2002-07-04,0.0,-0.0009718976753455984,-0.00017378172802118,91615428.88955912,96509211.42380585,92486911.08146498,0.1,0.1
2002-07-05,0.0197334345602429,0.009347228720893875,0.0178763123094834,93423315.96025981,97411305.09665725,94140235.98849666,0.1,0.1
2002-07-08,-0.0060186467489626,-0.002264145874638369,-0.005347317177601,92861034.02337828,97190751.69207951,93636838.28749196,0.1,0.1
2002-07-09,-0.013131647157516,-0.0017220059656494263,-0.01109152790142338,91641615.68990119,97023388.63785979,92598262.68302517,0.1,0.1
2002-07-10,-0.0181264315297629,-0.008232980547040344,-0.01635741710418667,89980480.21782134,96224596.96659636,91083594.27719589,0.1,0.1
2002-07-11,0.0050304015222598,0.0005243389388291146,0.00422468774993113,90433118.16248274,96275051.2696591,91468394.02215844,0.1,0.1
2002-07-12,-0.0034096344308353,-0.0015342272767351257,-0.003074299236348987,90124774.28910814,96127343.45993212,91187192.80826606,0.1,0.1
2002-07-15,-0.0026406966154485,0.0002745544031716727,-0.0021194304652324605,89886782.10267483,96153735.64534424,90993927.8937892,0.1,0.1
2002-07-16,-0.0130644328962473,-0.005099589210760177,-0.01164026620237148,88712462.26963484,95663391.09247296,89934734.3503061,0.1,0.1
2002-07-17,0.0044676064866503,0.0001210262664031697,0.00369040921494304,89108794.64151737,95674968.87552835,90266630.32269591,0.1,0.1
2002-07-18,-0.0151156466703272,-0.006045435806023827,-0.013493833019055091,87761857.58649746,95096571.99294801,89048587.48592867,0.1,0.1
2002-07-19,-0.0219358693548357,-0.005616070159242119,-0.01901778139443346,85836724.94414236,94562502.97273219,87355080.91563821,0.1,0.1
2002-07-22,-0.0176945968634879,-0.01060539472491962,-0.016427000665674422,84317878.70017366,93559630.30252999,85920098.94328699,0.1,0.1
2002-07-23,-0.0155736006340978,-0.01113616104213743,-0.01478015710620145,83004745.73098285,92517735.19243817,84650186.38232483,0.1,0.1
2002-07-24,0.034431657403253,0.015804544419360658,0.03110100648752208,85862736.69883618,93979935.8478657,87282892.37817147,0.1,0.1
2002-07-25,-0.0027798201914636,-0.002478605346829203,-0.00272596098639082,85624053.72966644,93746996.67637852,87044962.61876923,0.1,0.1
2002-07-26,0.0101950431693466,0.0034217586150069464,0.00898393512362177,86496994.65377483,94067776.26988694,87826968.91577435,0.1,0.1
2002-07-29,0.0296094785300892,0.01195712544746269,0.02645312112729162,89058125.55989301,95192556.47130983,90150266.3627462,0.1,0.1
2002-07-30,0.0023169376117155,0.002897897540089462,0.00242081708671063,89264467.68063161,95468414.74654287,90368503.66792864,0.1,0.1
2002-07-31,0.0086230085170529,0.0044840189773553045,0.007882929831079641,90034195.9457119,95896496.9300044,91080872.24128257,0.1,0.1
2002-08-01,-0.0166076369986091,-0.008599387984413011,-0.01517570914507654,88538940.70198385,95071845.74655722,89698655.41546899,0.1,0.1
2002-08-02,-0.0109089293089327,-0.004253679070828285,-0.00971892657908782,87573075.65677813,94667440.62608007,88826880.76924315,0.1,0.1
2002-08-05,-0.0197142557213392,-0.010750122808852913,-0.01811140950896457,85846637.64897622,93649754.01334992,87218100.75622742,0.1,0.1
2002-08-06,0.0155021377254116,0.007932865332643878,0.01414870179316653,87177444.04907416,94392664.90037304,88452123.65479364,0.1,0.1
2002-08-07,0.0138569561875534,0.005255822170362752,0.01231901657686585,88385458.07180507,94888775.96127604,89541766.83235604,0.1,0.1
2002-08-08,0.018189861256703,0.008209595679916307,0.016405323807914932,89993177.29124135,95667774.44648029,91010728.51157364,0.1,0.1
2002-08-09,0.0047001691375847,0.0029202561280944807,0.00438190892731452,90416160.44573882,95947148.8510688,91409529.23531991,0.1,0.1
2002-08-12,-0.0021719962438787,0.002155799153257869,-0.0013981578227001902,90219776.88486476,96153991.63331945,91281724.2869502,0.1,0.1
2002-08-13,-0.0110498674707766,-0.004229125162862509,-0.00983027366504495,89222860.30704395,95747344.36779329,90384399.95659229,0.1,0.1
2002-08-14,0.0249669824022121,0.011153167400741678,0.022496980978793938,91450485.89020495,96815230.52770376,92417776.08319546,0.1,0.1
2002-08-15,0.0049640050381488,0.004565950161217789,0.00489283019524599,91904446.56290509,97257284.04514007,92869960.56859282,0.1,0.1
