date,w_T_tan,w_T_mv,n_obs
2011-07-29,0.9774079917207976,0.8447784788880344,756
2011-08-31,0.8782568439575767,0.8339558671826441,756
2011-09-30,0.8441625419608013,0.7839699176736747,756
2011-10-31,0.7448032661974854,0.7320764362399863,756
2011-11-30,0.7808716006696417,0.7311617215527865,756
2011-12-30,0.6208136540864203,0.7213569313829876,756
2012-01-31,0.39950331277976797,0.6947893268637212,756
2012-02-29,0.467716618811068,0.6410968908274858,756
2012-03-30,0.3328147837880287,0.6191026828865809,756
2012-04-30,0.21888748047606993,0.6316630899890826,756
2012-05-31,0.39988672001244496,0.6562907651161052,756
2012-06-29,0.34207672203875117,0.663518165854936,756
2012-07-31,0.408948563029586,0.6748495152865542,756
2012-08-31,0.3105039995261385,0.6921307572103891,756
2012-09-28,0.3001927139867443,0.7032123844083384,756
2012-10-31,0.28183154879795735,0.7244080667488184,756
2012-11-30,0.30245914814698727,0.7434022817529414,756
2012-12-31,0.3444688733067162,0.7386613076140388,756
2013-01-31,0.41626629441233043,0.7376273016451202,756
2013-02-28,0.34895784899021404,0.7429306687018716,756
2013-03-29,0.3436715236778041,0.7448054372883297,756
2013-04-30,0.21742295488222235,0.7300878059851775,756
2013-05-31,0.21801125439263902,0.7234607685399949,756
2013-06-28,0.21575809737960344,0.7266138758304456,756
2013-07-31,0.13358585665828826,0.7224847985018652,756
2013-08-30,0.0,0.72556190849161,756
2013-09-30,0.0,0.7442312247189167,756
2013-10-31,0.0,0.766458026652783,756
2013-11-29,0.0,0.7770018156468728,756
2013-12-31,0.0,0.7865112287505578,756
2014-01-31,0.0,0.786347070447636,756
2014-02-28,0.0,0.8013129634270094,756
2014-03-31,0.0,0.8231485638530287,756
2014-04-30,0.0,0.8203134432119605,756
2014-05-30,0.0,0.8183488353226769,756
2014-06-30,0.0,0.811306909413008,756
2014-07-31,0.0,0.78744597628012,756
2014-08-29,0.0,0.7877176325817166,756
2014-09-30,0.0,0.7648825434638284,756
2014-10-31,0.0,0.7435565288660398,756
2014-11-28,0.0,0.7361373630959769,756
2014-12-31,0.0,0.7519542809914043,756
2015-01-30,0.0,0.7730767219262,756
2015-02-27,0.0,0.7901883138843281,756
2015-03-31,0.0,0.7922359019051268,756
2015-04-30,0.0,0.7855540502840144,756
2015-05-29,0.0,0.7439867267698048,756
2015-06-30,0.0,0.7309233916787841,756
2015-07-31,0.0,0.7453921729894738,756
2015-08-31,0.0,0.7893961238974265,756
2015-09-30,0.0,0.8024737826673287,756
2015-10-30,0.0,0.7961977567072349,756
2015-11-30,0.0,0.7853036643811214,756
2015-12-31,0.0,0.7846586326295837,756
2016-01-29,0.0,0.7975348092244994,756
2016-02-29,0.0,0.7887261905077341,756
2016-03-31,0.3307716155963211,0.7387444151101672,756
2016-04-29,0.4569509626436557,0.7040102933663953,756
2016-05-31,0.2724732654344179,0.6746164866409469,756
2016-06-30,0.47054604461472704,0.6650534691734399,756
2016-07-29,0.4040254853071902,0.6567844123592913,756
2016-08-31,0.4278293774159622,0.6599735769025442,756
2016-09-30,0.49453883516725095,0.6594574117697685,756
2016-10-31,0.5492567761698317,0.6605047211944568,756
2016-11-30,0.47176213782811455,0.6505307882845105,756
2016-12-30,0.4114800910938162,0.6481899878367606,756
2017-01-31,0.3914060644804253,0.6492802265478795,756
2017-02-28,0.353353944369507,0.6457870928424924,756
2017-03-31,0.25292186201043404,0.64092819114143,756
2017-04-28,0.340849339669263,0.639532971981822,756
2017-05-31,0.3081449642721722,0.6398347840591246,756
2017-06-30,0.2968289198693285,0.6394333050261763,756
2017-07-31,0.386097603501143,0.6376587158844513,756
2017-08-31,0.3822398610158531,0.626547673452683,756
2017-09-29,0.3401418113607149,0.6059576390775177,756
2017-10-31,0.35755415041959343,0.6035560299352214,756
2017-11-30,0.3156216806887004,0.5916621222820744,756
2017-12-29,0.2693725378066723,0.5868412278119873,756
2018-01-31,0.32922203799453603,0.5801274031030047,756
2018-02-28,0.3055658512008762,0.5975211137501898,756
2018-03-30,0.31365184461987655,0.612652662364921,756
2018-04-30,0.4295449524158735,0.643514691936722,756
2018-05-31,0.36672340854748975,0.6459225081796655,756
2018-06-29,0.34185761628755085,0.6433315964781307,756
2018-07-31,0.22381226922236072,0.604807204182896,756
2018-08-31,0.18162348917621637,0.588578512459197,756
2018-09-28,0.23340750150771378,0.5878200018657365,756
2018-10-31,0.24472232260012008,0.6090371764949618,756
2018-11-30,0.21405367657692215,0.6129748810987983,756
2018-12-31,0.2279021845123453,0.624094003494802,756
2019-01-31,0.03325117238386468,0.642028816164122,756
2019-02-28,0.03458212076306874,0.6753683642949431,756
2019-03-29,0.0,0.71208628848626,756
2019-04-30,0.0,0.7371728178386766,756
2019-05-31,0.0,0.7586189798788433,756
2019-06-28,0.0,0.7735431754522479,756
2019-07-31,0.0,0.7815954619206371,756
2019-08-30,0.0,0.7840799929349974,756
2019-09-30,0.0,0.7796382666352892,756
2019-10-31,0.0,0.7926144166884571,756
2019-11-29,0.0,0.7890396544575475,756
2019-12-31,0.0,0.796501551492079,756
2020-01-31,1.0,0.806974686929363,756
2020-02-28,1.0,0.8216562941547706,756
2020-03-31,1.0,0.925118825079895,756
2020-04-30,1.0,0.9322813694328742,756
2020-05-29,1.0,0.9332943367630303,756
2020-06-30,1.0,0.9317546891098145,756
2020-07-31,1.0,0.9258905192762463,756
2020-08-31,0.0,0.9159587092852703,756
2020-09-30,1.0,0.9169567908604446,756
2020-10-30,0.0,0.920590067616578,756
2020-11-30,0.0,0.92165781813456,756
2020-12-31,0.0,0.9187857205489791,756
2021-01-29,0.0,0.9091560447215653,756
2021-02-26,0.0023905503962678384,0.9036321742524162,756
2021-03-31,0.0,0.9036373807873573,756
2021-04-30,0.12087925415365318,0.9027043839037623,756
2021-05-31,0.43386085877426744,0.898095355816182,756
2021-06-30,0.35228205485474756,0.887657452436176,756
2021-07-30,0.4031925794357742,0.8836961403295996,756
2021-08-31,0.38574209771619117,0.8825995346347807,756
2021-09-30,0.4740067929296304,0.8799516842312015,756
2021-10-29,0.4978209451021206,0.8794731680897303,756
2021-11-30,0.2733630686590683,0.8757479532668635,756
2021-12-31,0.31061207475351255,0.8774194306048562,756
2022-01-31,0.4722761565274927,0.8813050744746135,756
2022-02-28,0.6193643853327441,0.874323743623373,756
2022-03-31,0.7006372813652189,0.8357656858596506,756
